gauge,unit_weight,material,wound,brand2
0.008,1.609e-05,ps,0,0
0.0085,1.709e-05,ps,0,0
0.009,1.81e-05,ps,0,0
0.0095,2.159e-05,ps,0,0
0.01,2.27e-05,ps,0,0
0.0105,2.5e-05,ps,0,0
0.011,2.95e-05,ps,0,0
0.0115,3.08e-05,ps,0,0
0.012,3.4e-05,ps,0,0
0.0125,3.54e-05,ps,0,0
0.013,3.86e-05,ps,0,0
0.0135,4.008e-05,ps,0,0
0.014,4.77e-05,ps,0,0
0.015,5.28e-05,ps,0,0
0.016,5.9e-05,ps,0,0
0.017,6.81e-05,ps,0,0
0.018,7.27e-05,ps,0,0
0.019,7.72e-05,ps,0,0
0.02,8.41e-05,ps,0,0
0.021,9.32e-05,ps,0,0
0.022,0.0001159,ps,0,0
0.024,0.0001432,ps,0,0
0.026,0.0001568,ps,0,0
0.007,1.085e-05,ps,0,1
0.008,1.418e-05,ps,0,1
0.0085,1.601e-05,ps,0,1
0.009,1.794e-05,ps,0,1
0.0095,1.999e-05,ps,0,1
0.01,2.215e-05,ps,0,1
0.0105,2.442e-05,ps,0,1
0.011,2.68e-05,ps,0,1
0.0115,2.93e-05,ps,0,1
0.012,3.19e-05,ps,0,1
0.013,3.744e-05,ps,0,1
0.0135,4.037e-05,ps,0,1
0.014,4.342e-05,ps,0,1
0.015,4.984e-05,ps,0,1
0.016,5.671e-05,ps,0,1
0.017,6.402e-05,ps,0,1
0.018,7.177e-05,ps,0,1
0.019,7.997e-05,ps,0,1
0.02,8.861e-05,ps,0,1
0.022,0.00010722,ps,0,1
0.024,0.0001276,ps,0,1
0.026,0.00014975,ps,0,1
0.016,6.89e-05,nps,1,0
0.018,7.82e-05,nps,1,0
0.02,8.93e-05,nps,1,0
0.022,9.91e-05,nps,1,0
0.024,0.0001018,nps,1,0
0.026,0.000124,nps,1,0
0.028,0.0001283,nps,1,0
0.03,0.0001634,nps,1,0
0.032,0.0001896,nps,1,0
0.033,0.00022702,nps,1,0
0.034,0.0002339,nps,1,0
0.036,0.0002365,nps,1,0
0.038,0.0002655,nps,1,0
0.04,0.0003076,nps,1,0
0.042,0.0003122,nps,1,0
0.043,0.00031963,nps,1,0
0.044,0.0003215,nps,1,0
0.046,0.0003806,nps,1,0
0.048,0.0004052,nps,1,0
0.05,0.0004709,nps,1,0
0.052,0.0004788,nps,1,0
0.053,0.00048801,nps,1,0
0.054,0.000492,nps,1,0
0.017,5.524e-05,nps,1,1
0.018,6.215e-05,nps,1,1
0.019,6.947e-05,nps,1,1
0.02,7.495e-05,nps,1,1
0.021,8.293e-05,nps,1,1
0.022,9.184e-05,nps,1,1
0.024,0.00010857,nps,1,1
0.026,0.00012671,nps,1,1
0.028,0.00014666,nps,1,1
0.03,0.00017236,nps,1,1
0.032,0.00019347,nps,1,1
